Time par DarkSoul - commentaires a darksoul@darkbsd.org
{0}{20}{c:$0044EEEE:$8044EEEE}{s:20}{o:320,540}[Saint Seiya Hades - OP - Chikyuugi]
{20}{100}{c:$8044EEEE}{s:20}{o:320,540}[Saint Seiya Hades - OP - Chikyuugi]
{100}{120}{c:$8044EEEE:$0044EEEE}{s:20}{o:320,540}[Saint Seiya Hades - OP - Chikyuugi]
{0}{238}namida yori mo... yasashi uta wo
{178}{497}||kanashimi yori... sono nukumori wo
{996}{1210}sekai ga sonna ni mo
{1166}{1355}||kantan ni kawarutowa omowanai kedo
{1295}{1482}shizukani yami wo tokashite
{1422}{1642}||"aruite aruite miou" to omou
{1582}{1770}yukkuri demo chikazukeru kana
{1710}{1978}||yume no kakera, daisuki na hito, omoigaita 
{1918}{2190}ai no katachi wa zutto zutto sagashi tsuzukete
{2130}{2331}||anata no tame ni dekiru koto nante
{2271}{2472}taishita koto nai kamoshirenai
{2412}{2612}||demo soretemo fureteitaiyo
{2552}{2751}kanashimi yori sono nukumori wo
{2691}{2907}||kuru kuru mawaru, chikyuugi
{2847}{3054}kuru kuru kawaru, jikan
{2994}{3152}||sekai no hate ni
{3092}{3292}ai wo yorokobi no saki ni
{3232}{3449}||yume wo...
{2194}{2197}|||      ÿ                           
{2203}{2209}|||         ÿ                        
{2209}{2213}|||           ÿ                      
{2213}{2227}|||              ÿ                   
{2238}{2245}|||                 ÿ                
{2245}{2251}|||                   ÿ              
{2251}{2259}|||                     ÿ            
{2259}{2262}|||                        ÿ         
{2266}{2272}|||                          ÿ       
{2272}{2278}|||                             ÿ    
{2278}{2286}|||                               ÿ  
{2286}{2300}|||                                ÿ 
{2314}{2318}|ÿ                             
{2322}{2326}|   ÿ                          
{2331}{2335}|      ÿ                       
{2347}{2352}|         ÿ                    
{2352}{2367}|           ÿ                  
{2385}{2391}|              ÿ               
{2391}{2397}|                ÿ             
{2397}{2403}|                  ÿ           
{2403}{2408}|                    ÿ         
{2408}{2414}|                      ÿ       
{2414}{2420}|                         ÿ    
{2420}{2441}|                           ÿ  
{2454}{2461}|||ÿ                         
{2461}{2470}|||  ÿ                       
{2470}{2476}|||     ÿ                    
{2476}{2483}|||       ÿ                  
{2483}{2488}|||         ÿ                
{2488}{2511}|||           ÿ              
{2525}{2529}|||              ÿ           
{2529}{2534}|||                ÿ         
{2534}{2542}|||                  ÿ       
{2542}{2546}|||                    ÿ     
{2553}{2558}|||                     ÿ    
{2558}{2562}|||                       ÿ  
{2562}{2581}|||                        ÿ 
{2594}{2600}|ÿ                              
{2600}{2609}|  ÿ                            
{2609}{2615}|    ÿ                          
{2615}{2625}|       ÿ                       
{2625}{2630}|          ÿ                    
{2630}{2650}|            ÿ                  
{2665}{2670}|               ÿ               
{2670}{2675}|                 ÿ             
{2675}{2684}|                    ÿ          
{2684}{2689}|                      ÿ        
{2689}{2696}|                        ÿ      
{2696}{2700}|                          ÿ    
{2700}{2720}|                             ÿ 
{2744}{2754}|||ÿ                          
{2759}{2770}|||  ÿ                        
{2775}{2788}|||     ÿ                     
{2795}{2802}|||       ÿ                   
{2810}{2814}|||          ÿ                
{2818}{2823}|||            ÿ              
{2823}{2835}|||              ÿ            
{2851}{2857}|||                  ÿ        
{2861}{2865}|||                     ÿ     
{2870}{2876}|||                         ÿ 
{2880}{2889}|ÿ                      
{2898}{2905}|  ÿ                    
{2915}{2923}|     ÿ                 
{2933}{2940}|       ÿ               
{2950}{2958}|          ÿ            
{2958}{2964}|            ÿ          
{2964}{2974}|              ÿ        
{2996}{3000}|                  ÿ    
{3004}{3013}|                    ÿ  
{3013}{3024}|                      ÿ
{3024}{3033}|||ÿ               
{3037}{3044}|||  ÿ             
{3066}{3078}|||      ÿ         
{3085}{3092}|||         ÿ      
{3096}{3101}|||           ÿ    
{3101}{3121}|||              ÿ 
{3136}{3142}|ÿ                        
{3142}{3149}|   ÿ                     
{3161}{3166}|      ÿ                  
{3176}{3182}|        ÿ                
{3193}{3199}|          ÿ              
{3211}{3216}|            ÿ            
{3221}{3226}|               ÿ         
{3226}{3230}|                  ÿ      
{3236}{3241}|                    ÿ    
{3241}{3261}|                       ÿ 
{3275}{3282}|||ÿ         
{3282}{3286}|||  ÿ       
{3290}{3389}|||     ÿ    
