# --- This is a generated file --- -*- toyunda -*-
{0}{0}{needed at beginning of file for file format recognition by mplayer}
# --- LYRICS - GENERATE AGAIN AFTER YOU EDIT ---
--%color 00FFFF 0000FF 0080FF
--&ko&wa&i &yo&ru &wo
--&ka&zo&e&te&ru
--&fu&ta&ri &da&ke &no
--&hi&mi&tsu &to &chuu&mon
--&ko&wa&re&so&u &na
{1118}{1123}||{c:$FF0080FF:$000080FF}      u           
{1118}{1128}{c:$0000FFFF:$FF00FFFF}        u   
{1120}{1125}||{c:$FF0080FF:$000080FF}        t         
{1120}{1130}{c:$0000FFFF:$FF00FFFF}          n 
{1120}{1155}{c:$FF00FFFF}k           
{1121}{1126}||{c:$FF0080FF:$000080FF}         o        
{1121}{1131}{c:$0000FFFF:$FF00FFFF}           a
{1121}{1155}{c:$FF00FFFF} o          
{1122}{1175}{c:$FF00FFFF}  w         
{1123}{1128}||{c:$FF0080FF:$000080FF}           c      
{1123}{1175}{c:$FF00FFFF}   a        
{1124}{1129}||{c:$FF0080FF:$000080FF}            h     
{1124}{1195}{c:$FF00FFFF}    r       
{1125}{1130}||{c:$FF0080FF:$000080FF}             u    
{1125}{1195}{c:$FF00FFFF}     e      
{1126}{1131}||{c:$FF0080FF:$000080FF}              u   
{1126}{1214}{c:$FF00FFFF}      s     
{1127}{1132}||{c:$FF0080FF:$000080FF}               m  
{1127}{1214}{c:$FF00FFFF}       o    
{1128}{1133}||{c:$FF0080FF:$000080FF}                o 
{1128}{1237}{c:$FF00FFFF}        u   
{1129}{1134}||{c:$FF0080FF:$000080FF}                 n
{1130}{1247}{c:$FF00FFFF}          n 
{1131}{1247}{c:$FF00FFFF}           a
{1155}{1170}{c:$FF0000FF:$FF0080FF} o          
{1155}{1170}{c:$FF0000FF:$FF0080FF}k           
{1155}{1170}|ÿ          
{1170}{1272}{c:$FF0080FF}k           
{1170}{1273}{c:$FF0080FF} o          
{1175}{1190}{c:$FF0000FF:$FF0080FF}   a        
{1175}{1190}{c:$FF0000FF:$FF0080FF}  w         
{1175}{1190}|  ÿ        
{1190}{1274}{c:$FF0080FF}  w         
{1190}{1275}{c:$FF0080FF}   a        
{1195}{1209}{c:$FF0000FF:$FF0080FF}     e      
{1195}{1209}{c:$FF0000FF:$FF0080FF}    r       
{1195}{1209}|    ÿ      
{1209}{1276}{c:$FF0080FF}    r       
{1209}{1277}{c:$FF0080FF}     e      
{1214}{1232}{c:$FF0000FF:$FF0080FF}       o    
{1214}{1232}{c:$FF0000FF:$FF0080FF}      s     
{1214}{1232}|      ÿ    
{1232}{1278}{c:$FF0080FF}      s     
{1232}{1279}{c:$FF0080FF}       o    
{1237}{1242}{c:$FF0000FF:$FF0080FF}        u   
{1237}{1242}|        ÿ  
{1242}{1280}{c:$FF0080FF}        u   
{1247}{1272}{c:$FF0000FF:$FF0080FF}           a
{1247}{1272}{c:$FF0000FF:$FF0080FF}          n 
{1247}{1272}|          ÿ
{1272}{1277}{c:$FF0080FF:$000080FF}k           
{1272}{1282}{c:$FF0080FF}          n 
{1272}{1283}{c:$FF0080FF}           a
{1273}{1278}{c:$FF0080FF:$000080FF} o          
{1274}{1279}{c:$FF0080FF:$000080FF}  w         
{1275}{1280}{c:$FF0080FF:$000080FF}   a        
{1276}{1281}{c:$FF0080FF:$000080FF}    r       
{1276}{1286}{c:$0000FFFF:$FF00FFFF}o                    
{1277}{1282}{c:$FF0080FF:$000080FF}     e      
{1277}{1287}{c:$0000FFFF:$FF00FFFF} m                   
{1278}{1283}{c:$FF0080FF:$000080FF}      s     
{1278}{1288}{c:$0000FFFF:$FF00FFFF}  o                  
{1279}{1284}{c:$FF0080FF:$000080FF}       o    
{1279}{1289}{c:$0000FFFF:$FF00FFFF}   i                 
{1280}{1285}{c:$FF0080FF:$000080FF}        u   
{1281}{1291}{c:$0000FFFF:$FF00FFFF}     n               
{1282}{1287}{c:$FF0080FF:$000080FF}          n 
{1282}{1292}{c:$0000FFFF:$FF00FFFF}      o              
{1283}{1288}{c:$FF0080FF:$000080FF}           a
{1283}{1293}{c:$0000FFFF:$FF00FFFF}       s             
{1284}{1294}{c:$0000FFFF:$FF00FFFF}        e            
{1285}{1295}{c:$0000FFFF:$FF00FFFF}         t           
{1286}{1296}{c:$0000FFFF:$FF00FFFF}          e          
{1286}{1321}{c:$FF00FFFF}o                    
{1287}{1338}{c:$FF00FFFF} m                   
{1288}{1298}{c:$0000FFFF:$FF00FFFF}            t        
{1288}{1338}{c:$FF00FFFF}  o                  
{1289}{1299}{c:$0000FFFF:$FF00FFFF}             o       
{1289}{1357}{c:$FF00FFFF}   i                 
{1290}{1300}{c:$0000FFFF:$FF00FFFF}              n      
{1291}{1301}{c:$0000FFFF:$FF00FFFF}               a     
{1291}{1379}{c:$FF00FFFF}     n               
{1292}{1302}{c:$0000FFFF:$FF00FFFF}                e    
{1292}{1379}{c:$FF00FFFF}      o              
{1293}{1303}{c:$0000FFFF:$FF00FFFF}                 t   
{1293}{1398}{c:$FF00FFFF}       s             
{1294}{1304}{c:$0000FFFF:$FF00FFFF}                  e  
{1294}{1398}{c:$FF00FFFF}        e            
{1295}{1305}{c:$0000FFFF:$FF00FFFF}                   k 
{1295}{1409}{c:$FF00FFFF}         t           
{1296}{1306}{c:$0000FFFF:$FF00FFFF}                    u
{1296}{1409}{c:$FF00FFFF}          e          
{1298}{1432}{c:$FF00FFFF}            t        
{1299}{1432}{c:$FF00FFFF}             o       
{1300}{1441}{c:$FF00FFFF}              n      
{1301}{1441}{c:$FF00FFFF}               a     
{1302}{1451}{c:$FF00FFFF}                e    
{1303}{1460}{c:$FF00FFFF}                 t   
{1304}{1460}{c:$FF00FFFF}                  e  
{1305}{1470}{c:$FF00FFFF}                   k 
{1306}{1470}{c:$FF00FFFF}                    u
{1321}{1333}{c:$FF0000FF:$FF0080FF}o                    
{1321}{1333}|ÿ                    
{1333}{1479}{c:$FF0080FF}o                    
{1338}{1352}{c:$FF0000FF:$FF0080FF}  o                  
{1338}{1352}{c:$FF0000FF:$FF0080FF} m                   
{1338}{1352}| ÿ                  
{1352}{1480}{c:$FF0080FF} m                   
{1352}{1481}{c:$FF0080FF}  o                  
{1357}{1374}{c:$FF0000FF:$FF0080FF}   i                 
{1357}{1374}|   ÿ                
{1374}{1482}{c:$FF0080FF}   i                 
{1379}{1393}{c:$FF0000FF:$FF0080FF}      o              
{1379}{1393}{c:$FF0000FF:$FF0080FF}     n               
{1379}{1393}|     ÿ              
{1393}{1484}{c:$FF0080FF}     n               
{1393}{1485}{c:$FF0080FF}      o              
{1398}{1404}{c:$FF0000FF:$FF0080FF}        e            
{1398}{1404}{c:$FF0000FF:$FF0080FF}       s             
{1398}{1404}|       ÿ            
{1404}{1486}{c:$FF0080FF}       s             
{1404}{1487}{c:$FF0080FF}        e            
{1409}{1427}{c:$FF0000FF:$FF0080FF}          e          
{1409}{1427}{c:$FF0000FF:$FF0080FF}         t           
{1409}{1427}|         ÿ          
{1427}{1488}{c:$FF0080FF}         t           
{1427}{1489}{c:$FF0080FF}          e          
{1432}{1441}{c:$FF0000FF:$FF0080FF}             o       
{1432}{1441}{c:$FF0000FF:$FF0080FF}            t        
{1432}{1441}|            ÿ       
{1439}{1449}||{c:$0000FFFF:$FF00FFFF}h           
{1440}{1450}||{c:$0000FFFF:$FF00FFFF} o          
{1441}{1451}{c:$FF0000FF:$FF0080FF}               a     
{1441}{1451}{c:$FF0000FF:$FF0080FF}              n      
{1441}{1451}|              ÿ     
{1441}{1451}||{c:$0000FFFF:$FF00FFFF}  r         
{1441}{1491}{c:$FF0080FF}            t        
{1441}{1492}{c:$FF0080FF}             o       
{1442}{1452}||{c:$0000FFFF:$FF00FFFF}   a        
{1444}{1454}||{c:$0000FFFF:$FF00FFFF}     f      
{1445}{1455}||{c:$0000FFFF:$FF00FFFF}      u     
{1446}{1456}||{c:$0000FFFF:$FF00FFFF}       a    
{1447}{1457}||{c:$0000FFFF:$FF00FFFF}        n   
{1449}{1459}||{c:$0000FFFF:$FF00FFFF}          w 
{1449}{1484}||{c:$FF00FFFF}h           
{1450}{1460}||{c:$0000FFFF:$FF00FFFF}           a
{1450}{1484}||{c:$FF00FFFF} o          
{1451}{1460}{c:$FF0000FF:$FF0080FF}                e    
{1451}{1460}|                ÿ    
{1451}{1493}{c:$FF0080FF}              n      
{1451}{1494}{c:$FF0080FF}               a     
{1451}{1503}||{c:$FF00FFFF}  r         
{1452}{1503}||{c:$FF00FFFF}   a        
{1454}{1521}||{c:$FF00FFFF}     f      
{1455}{1521}||{c:$FF00FFFF}      u     
{1456}{1541}||{c:$FF00FFFF}       a    
{1457}{1562}||{c:$FF00FFFF}        n   
{1459}{1574}||{c:$FF00FFFF}          w 
{1460}{1470}{c:$FF0000FF:$FF0080FF}                  e  
{1460}{1470}{c:$FF0000FF:$FF0080FF}                 t   
{1460}{1470}|                 ÿ  
{1460}{1495}{c:$FF0080FF}                e    
{1460}{1574}||{c:$FF00FFFF}           a
{1470}{1479}{c:$FF0000FF:$FF0080FF}                    u
{1470}{1479}{c:$FF0000FF:$FF0080FF}                   k 
{1470}{1479}|                   ÿ
{1470}{1496}{c:$FF0080FF}                 t   
{1470}{1497}{c:$FF0080FF}                  e  
{1479}{1484}{c:$FF0080FF:$000080FF}o                    
{1479}{1498}{c:$FF0080FF}                   k 
{1479}{1499}{c:$FF0080FF}                    u
{1480}{1485}{c:$FF0080FF:$000080FF} m                   
{1481}{1486}{c:$FF0080FF:$000080FF}  o                  
{1482}{1487}{c:$FF0080FF:$000080FF}   i                 
{1484}{1489}{c:$FF0080FF:$000080FF}     n               
{1484}{1498}||{c:$FF0000FF:$FF0080FF} o          
{1484}{1498}||{c:$FF0000FF:$FF0080FF}h           
{1484}{1498}|||ÿ          
{1485}{1490}{c:$FF0080FF:$000080FF}      o              
{1486}{1491}{c:$FF0080FF:$000080FF}       s             
{1487}{1492}{c:$FF0080FF:$000080FF}        e            
{1488}{1493}{c:$FF0080FF:$000080FF}         t           
{1489}{1494}{c:$FF0080FF:$000080FF}          e          
{1491}{1496}{c:$FF0080FF:$000080FF}            t        
{1492}{1497}{c:$FF0080FF:$000080FF}             o       
{1493}{1498}{c:$FF0080FF:$000080FF}              n      
{1494}{1499}{c:$FF0080FF:$000080FF}               a     
{1495}{1500}{c:$FF0080FF:$000080FF}                e    
{1496}{1501}{c:$FF0080FF:$000080FF}                 t   
{1497}{1502}{c:$FF0080FF:$000080FF}                  e  
{1498}{1503}{c:$FF0080FF:$000080FF}                   k 
{1498}{1604}||{c:$FF0080FF}h           
{1498}{1605}||{c:$FF0080FF} o          
{1499}{1504}{c:$FF0080FF:$000080FF}                    u
{1503}{1516}||{c:$FF0000FF:$FF0080FF}   a        
{1503}{1516}||{c:$FF0000FF:$FF0080FF}  r         
{1503}{1516}|||  ÿ        
{1516}{1606}||{c:$FF0080FF}  r         
{1516}{1607}||{c:$FF0080FF}   a        
{1521}{1536}||{c:$FF0000FF:$FF0080FF}      u     
{1521}{1536}||{c:$FF0000FF:$FF0080FF}     f      
{1521}{1536}|||     ÿ     
{1536}{1609}||{c:$FF0080FF}     f      
{1536}{1610}||{c:$FF0080FF}      u     
{1541}{1557}||{c:$FF0000FF:$FF0080FF}       a    
{1541}{1557}|||       ÿ    
{1557}{1611}||{c:$FF0080FF}       a    
{1562}{1569}||{c:$FF0000FF:$FF0080FF}        n   
{1562}{1569}|||        ÿ  
{1569}{1612}||{c:$FF0080FF}        n   
{1574}{1604}||{c:$FF0000FF:$FF0080FF}           a
{1574}{1604}||{c:$FF0000FF:$FF0080FF}          w 
{1574}{1604}|||          ÿ
{1601}{1611}{c:$0000FFFF:$FF00FFFF}i            
{1602}{1612}{c:$0000FFFF:$FF00FFFF} t           
{1603}{1613}{c:$0000FFFF:$FF00FFFF}  a          
{1604}{1609}||{c:$FF0080FF:$000080FF}h           
{1604}{1614}{c:$0000FFFF:$FF00FFFF}   m         
{1604}{1614}||{c:$FF0080FF}          w 
{1604}{1615}||{c:$FF0080FF}           a
{1605}{1610}||{c:$FF0080FF:$000080FF} o          
{1605}{1615}{c:$0000FFFF:$FF00FFFF}    i        
{1606}{1611}||{c:$FF0080FF:$000080FF}  r         
{1607}{1612}||{c:$FF0080FF:$000080FF}   a        
{1607}{1617}{c:$0000FFFF:$FF00FFFF}      n      
{1608}{1618}{c:$0000FFFF:$FF00FFFF}       o     
{1609}{1614}||{c:$FF0080FF:$000080FF}     f      
{1610}{1615}||{c:$FF0080FF:$000080FF}      u     
{1610}{1620}{c:$0000FFFF:$FF00FFFF}         n   
{1611}{1616}||{c:$FF0080FF:$000080FF}       a    
{1611}{1621}{c:$0000FFFF:$FF00FFFF}          a  
{1611}{1646}{c:$FF00FFFF}i            
{1612}{1617}||{c:$FF0080FF:$000080FF}        n   
{1612}{1622}{c:$0000FFFF:$FF00FFFF}           k 
{1612}{1664}{c:$FF00FFFF} t           
{1613}{1623}{c:$0000FFFF:$FF00FFFF}            a
{1613}{1664}{c:$FF00FFFF}  a          
{1614}{1619}||{c:$FF0080FF:$000080FF}          w 
{1614}{1685}{c:$FF00FFFF}   m         
{1615}{1620}||{c:$FF0080FF:$000080FF}           a
{1615}{1685}{c:$FF00FFFF}    i        
{1617}{1705}{c:$FF00FFFF}      n      
{1618}{1705}{c:$FF00FFFF}       o     
{1620}{1726}{c:$FF00FFFF}         n   
{1621}{1726}{c:$FF00FFFF}          a  
{1622}{1737}{c:$FF00FFFF}           k 
{1623}{1737}{c:$FF00FFFF}            a
{1646}{1659}{c:$FF0000FF:$FF0080FF}i            
{1646}{1659}|ÿ            
{1659}{1760}{c:$FF0080FF}i            
{1664}{1680}{c:$FF0000FF:$FF0080FF}  a          
{1664}{1680}{c:$FF0000FF:$FF0080FF} t           
{1664}{1680}| ÿ          
{1680}{1761}{c:$FF0080FF} t           
{1680}{1762}{c:$FF0080FF}  a          
{1685}{1700}{c:$FF0000FF:$FF0080FF}    i        
{1685}{1700}{c:$FF0000FF:$FF0080FF}   m         
{1685}{1700}|   ÿ        
{1700}{1763}{c:$FF0080FF}   m         
{1700}{1764}{c:$FF0080FF}    i        
{1705}{1721}{c:$FF0000FF:$FF0080FF}       o     
{1705}{1721}{c:$FF0000FF:$FF0080FF}      n      
{1705}{1721}|      ÿ     
{1721}{1766}{c:$FF0080FF}      n      
{1721}{1767}{c:$FF0080FF}       o     
{1726}{1732}{c:$FF0000FF:$FF0080FF}          a  
{1726}{1732}{c:$FF0000FF:$FF0080FF}         n   
{1726}{1732}|         ÿ  
{1732}{1769}{c:$FF0080FF}         n   
{1732}{1770}{c:$FF0080FF}          a  
{1737}{1760}{c:$FF0000FF:$FF0080FF}            a
{1737}{1760}{c:$FF0000FF:$FF0080FF}           k 
{1737}{1760}|           ÿ
{1760}{1765}{c:$FF0080FF:$000080FF}i            
{1760}{1771}{c:$FF0080FF}           k 
{1760}{1772}{c:$FF0080FF}            a
{1761}{1766}{c:$FF0080FF:$000080FF} t           
{1762}{1767}{c:$FF0080FF:$000080FF}  a          
{1763}{1768}{c:$FF0080FF:$000080FF}   m         
{1764}{1769}{c:$FF0080FF:$000080FF}    i        
{1764}{1774}{c:$0000FFFF:$FF00FFFF}h             
{1765}{1775}{c:$0000FFFF:$FF00FFFF} o            
{1766}{1771}{c:$FF0080FF:$000080FF}      n      
{1766}{1776}{c:$0000FFFF:$FF00FFFF}  o           
{1767}{1772}{c:$FF0080FF:$000080FF}       o     
{1768}{1778}{c:$0000FFFF:$FF00FFFF}    s         
{1769}{1774}{c:$FF0080FF:$000080FF}         n   
{1769}{1779}{c:$0000FFFF:$FF00FFFF}     h        
{1770}{1775}{c:$FF0080FF:$000080FF}          a  
{1770}{1780}{c:$0000FFFF:$FF00FFFF}      i       
{1771}{1776}{c:$FF0080FF:$000080FF}           k 
{1771}{1781}{c:$0000FFFF:$FF00FFFF}       z      
{1772}{1777}{c:$FF0080FF:$000080FF}            a
{1772}{1782}{c:$0000FFFF:$FF00FFFF}        u     
{1773}{1783}{c:$0000FFFF:$FF00FFFF}         k    
{1774}{1784}{c:$0000FFFF:$FF00FFFF}          a   
{1774}{1809}{c:$FF00FFFF}h             
{1775}{1809}{c:$FF00FFFF} o            
{1776}{1786}{c:$0000FFFF:$FF00FFFF}            n 
{1776}{1828}{c:$FF00FFFF}  o           
{1777}{1787}{c:$0000FFFF:$FF00FFFF}             i
{1778}{1848}{c:$FF00FFFF}    s         
{1779}{1848}{c:$FF00FFFF}     h        
{1780}{1848}{c:$FF00FFFF}      i       
{1781}{1870}{c:$FF00FFFF}       z      
{1782}{1870}{c:$FF00FFFF}        u     
{1783}{1890}{c:$FF00FFFF}         k    
{1784}{1890}{c:$FF00FFFF}          a   
{1786}{1899}{c:$FF00FFFF}            n 
{1787}{1899}{c:$FF00FFFF}             i
{1809}{1823}{c:$FF0000FF:$FF0080FF} o            
{1809}{1823}{c:$FF0000FF:$FF0080FF}h             
{1809}{1823}|ÿ            
{1823}{1929}{c:$FF0080FF}h             
{1823}{1930}{c:$FF0080FF} o            
{1828}{1843}{c:$FF0000FF:$FF0080FF}  o           
{1828}{1843}|  ÿ          
{1843}{1931}{c:$FF0080FF}  o           
{1848}{1865}{c:$FF0000FF:$FF0080FF}      i       
{1848}{1865}{c:$FF0000FF:$FF0080FF}     h        
{1848}{1865}{c:$FF0000FF:$FF0080FF}    s         
{1848}{1865}|    ÿ        
{1865}{1933}{c:$FF0080FF}    s         
{1865}{1934}{c:$FF0080FF}     h        
{1865}{1935}{c:$FF0080FF}      i       
{1870}{1885}{c:$FF0000FF:$FF0080FF}        u     
{1870}{1885}{c:$FF0000FF:$FF0080FF}       z      
{1870}{1885}|       ÿ     
{1885}{1936}{c:$FF0080FF}       z      
{1885}{1937}{c:$FF0080FF}        u     
{1890}{1894}{c:$FF0000FF:$FF0080FF}          a   
{1890}{1894}{c:$FF0000FF:$FF0080FF}         k    
{1890}{1894}|         ÿ   
{1894}{1938}{c:$FF0080FF}         k    
{1894}{1939}{c:$FF0080FF}          a   
{1899}{1929}{c:$FF0000FF:$FF0080FF}             i
{1899}{1929}{c:$FF0000FF:$FF0080FF}            n 
{1899}{1929}|            ÿ
{1926}{1936}{c:$0000FFFF:$FF00FFFF}k           
{1927}{1937}{c:$0000FFFF:$FF00FFFF} o          
{1928}{1938}{c:$0000FFFF:$FF00FFFF}  m         
{1929}{1934}{c:$FF0080FF:$000080FF}h             
{1929}{1939}{c:$0000FFFF:$FF00FFFF}   o        
{1929}{1941}{c:$FF0080FF}            n 
{1929}{1942}{c:$FF0080FF}             i
{1930}{1935}{c:$FF0080FF:$000080FF} o            
{1930}{1940}{c:$0000FFFF:$FF00FFFF}    r       
{1931}{1936}{c:$FF0080FF:$000080FF}  o           
{1931}{1941}{c:$0000FFFF:$FF00FFFF}     u      
{1933}{1938}{c:$FF0080FF:$000080FF}    s         
{1933}{1943}{c:$0000FFFF:$FF00FFFF}       h    
{1934}{1939}{c:$FF0080FF:$000080FF}     h        
{1934}{1944}{c:$0000FFFF:$FF00FFFF}        i   
{1935}{1940}{c:$FF0080FF:$000080FF}      i       
{1935}{1945}{c:$0000FFFF:$FF00FFFF}         r  
{1936}{1941}{c:$FF0080FF:$000080FF}       z      
{1936}{1946}{c:$0000FFFF:$FF00FFFF}          u 
{1936}{1971}{c:$FF00FFFF}k           
{1937}{1942}{c:$FF0080FF:$000080FF}        u     
{1937}{1947}{c:$0000FFFF:$FF00FFFF}           i
{1937}{1971}{c:$FF00FFFF} o          
{1938}{1943}{c:$FF0080FF:$000080FF}         k    
{1938}{1992}{c:$FF00FFFF}  m         
{1939}{1944}{c:$FF0080FF:$000080FF}          a   
{1939}{1992}{c:$FF00FFFF}   o        
{1940}{2013}{c:$FF00FFFF}    r       
{1941}{1946}{c:$FF0080FF:$000080FF}            n 
{1941}{2013}{c:$FF00FFFF}     u      
{1942}{1947}{c:$FF0080FF:$000080FF}             i
{1943}{2033}{c:$FF00FFFF}       h    
{1944}{2033}{c:$FF00FFFF}        i   
{1945}{2054}{c:$FF00FFFF}         r  
{1946}{2054}{c:$FF00FFFF}          u 
{1947}{2063}{c:$FF00FFFF}           i
{1971}{1986}{c:$FF0000FF:$FF0080FF} o          
{1971}{1986}{c:$FF0000FF:$FF0080FF}k           
{1971}{1986}|ÿ          
{1986}{2098}{c:$FF0080FF}k           
{1986}{2099}{c:$FF0080FF} o          
{1992}{2008}{c:$FF0000FF:$FF0080FF}   o        
{1992}{2008}{c:$FF0000FF:$FF0080FF}  m         
{1992}{2008}|  ÿ        
{2008}{2100}{c:$FF0080FF}  m         
{2008}{2101}{c:$FF0080FF}   o        
{2013}{2028}{c:$FF0000FF:$FF0080FF}     u      
{2013}{2028}{c:$FF0000FF:$FF0080FF}    r       
{2013}{2028}|    ÿ      
{2028}{2102}{c:$FF0080FF}    r       
{2028}{2103}{c:$FF0080FF}     u      
{2033}{2049}{c:$FF0000FF:$FF0080FF}        i   
{2033}{2049}{c:$FF0000FF:$FF0080FF}       h    
{2033}{2049}|       ÿ   
{2049}{2105}{c:$FF0080FF}       h    
{2049}{2106}{c:$FF0080FF}        i   
{2054}{2058}{c:$FF0000FF:$FF0080FF}          u 
{2054}{2058}{c:$FF0000FF:$FF0080FF}         r  
{2054}{2058}|         ÿ 
{2058}{2107}{c:$FF0080FF}         r  
{2058}{2108}{c:$FF0080FF}          u 
{2063}{2098}{c:$FF0000FF:$FF0080FF}           i
{2063}{2098}|           ÿ
{2098}{2103}{c:$FF0080FF:$000080FF}k           
{2098}{2109}{c:$FF0080FF}           i
{2099}{2104}{c:$FF0080FF:$000080FF} o          
{2100}{2105}{c:$FF0080FF:$000080FF}  m         
{2101}{2106}{c:$FF0080FF:$000080FF}   o        
{2102}{2107}{c:$FF0080FF:$000080FF}    r       
{2103}{2108}{c:$FF0080FF:$000080FF}     u      
{2105}{2110}{c:$FF0080FF:$000080FF}       h    
{2106}{2111}{c:$FF0080FF:$000080FF}        i   
{2107}{2112}{c:$FF0080FF:$000080FF}         r  
{2108}{2113}{c:$FF0080FF:$000080FF}          u 
{2109}{2114}{c:$FF0080FF:$000080FF}           i
{455}{465}{c:$0000FFFF:$FF00FFFF}k            
{456}{466}{c:$0000FFFF:$FF00FFFF} o           
{457}{467}{c:$0000FFFF:$FF00FFFF}  w          
{458}{468}{c:$0000FFFF:$FF00FFFF}   a         
{459}{469}{c:$0000FFFF:$FF00FFFF}    i        
{461}{471}{c:$0000FFFF:$FF00FFFF}      y      
{462}{472}{c:$0000FFFF:$FF00FFFF}       o     
{463}{473}{c:$0000FFFF:$FF00FFFF}        r    
{464}{474}{c:$0000FFFF:$FF00FFFF}         u   
{465}{500}{c:$FF00FFFF}k            
{466}{476}{c:$0000FFFF:$FF00FFFF}           w 
{466}{500}{c:$FF00FFFF} o           
{467}{477}{c:$0000FFFF:$FF00FFFF}            o
{467}{504}{c:$FF00FFFF}  w          
{468}{504}{c:$FF00FFFF}   a         
{469}{523}{c:$FF00FFFF}    i        
{471}{543}{c:$FF00FFFF}      y      
{472}{543}{c:$FF00FFFF}       o     
{473}{564}{c:$FF00FFFF}        r    
{474}{564}{c:$FF00FFFF}         u   
{476}{594}{c:$FF00FFFF}           w 
{477}{594}{c:$FF00FFFF}            o
{500}{504}{c:$FF0000FF:$FF0080FF} o           
{500}{504}{c:$FF0000FF:$FF0080FF}k            
{500}{504}|ÿ           
{504}{518}{c:$FF0000FF:$FF0080FF}   a         
{504}{518}{c:$FF0000FF:$FF0080FF}  w          
{504}{518}|  ÿ         
{504}{623}{c:$FF0080FF}k            
{504}{624}{c:$FF0080FF} o           
{518}{625}{c:$FF0080FF}  w          
{518}{626}{c:$FF0080FF}   a         
{523}{538}{c:$FF0000FF:$FF0080FF}    i        
{523}{538}|    ÿ       
{538}{627}{c:$FF0080FF}    i        
{543}{559}{c:$FF0000FF:$FF0080FF}       o     
{543}{559}{c:$FF0000FF:$FF0080FF}      y      
{543}{559}|      ÿ     
{559}{629}{c:$FF0080FF}      y      
{559}{630}{c:$FF0080FF}       o     
{564}{589}{c:$FF0000FF:$FF0080FF}         u   
{564}{589}{c:$FF0000FF:$FF0080FF}        r    
{564}{589}|        ÿ   
{589}{631}{c:$FF0080FF}        r    
{589}{632}{c:$FF0080FF}         u   
{594}{623}{c:$FF0000FF:$FF0080FF}            o
{594}{623}{c:$FF0000FF:$FF0080FF}           w 
{594}{623}|           ÿ
{618}{628}||{c:$0000FFFF:$FF00FFFF}k        
{619}{629}||{c:$0000FFFF:$FF00FFFF} a       
{620}{630}||{c:$0000FFFF:$FF00FFFF}  z      
